x,y


[98.          2.26795237],[ 24.83168941 143.09546105],[ 87.5        153.82239803],[115.05898213 139.38990768],[140.95217753 120.54087255],[148.09034405  87.76795237],[111.82342187  42.96834942],[96.5111598  19.28547378]
[94.          6.09368261],[ 23.78980034 141.01234477],[ 86.         155.05005206],[111.84504409 139.38541571],[137.12195532 121.15266474],[163.67880132 100.59368261],[144.7126636   58.76478468],[96.5111598  23.11120402]
[94.35064325 12.56723095],[ 22.92490635 140.59223884],[ 83.85064325 157.19347338],[108.33896168 141.26269739],[134.4084208  125.05506265],[160.56534295 105.06723095],[149.76176996  66.94843374],[98.83141855 29.93204872]
[96.4896446  19.22190239],[98.9704199   1.85708462],[ 21.67472228 139.36844825],[ 81.4896446 159.5180178],[104.62123737 143.32110217],[129.18511105 127.21022081],[156.37421728 109.22190239],[146.14200082  72.2350246 ],[102.90965091  37.28131286]
[95.4896446  27.00265543],[94.04638114 10.50607855],[ 19.76459232 136.31631602],[ 65.47347183 205.54425338],[ 78.4896446  162.10261842],[100.1217241  145.73954412],[124.58884439 131.1342482 ],[154.64216648 116.00265543],[149.90077131  81.38385822],[143.28676879  52.18164119]
[100.18606853  33.46295051],[94.74280507 16.96637363],[ 19.41912719 136.86776458],[ 62.74969433 202.60762225],[ 76.18606853 163.36676108],[ 97.60420998 148.36961698],[120.68900166 133.73781762],[144.94628556 116.46295051],[148.71780999  87.16011301],[144.96800047  58.81558445]
[110.76654193  40.9357593 ],[94.35366296 24.78647877],[94.85641877  7.41778525],[ 19.61041516 136.46211134],[ 58.85784543 195.0453491 ],[ 75.26654193 166.50944284],[ 94.0423825  149.71407022],[116.14111951 136.06832553],[140.46458113 120.4357593 ],[163.45398008  99.4212038 ],[149.50289713  66.80933777]
[141.54404736  48.65759026],[99.0703994  31.81371703],[93.75453896 15.8236565 ],[ 18.99873517 136.30548028],[ 55.87312929 192.43056124],[ 72.54404736 168.16909598],[ 90.32037467 152.07359008],[111.55631384 139.29064323],[134.31388333 124.15759026],[159.53302241 105.43293405],[146.34117155  73.83657602]
[172.88181609  56.79817624],[105.31701465  38.91241394],[95.03200031 23.62222234],[98.27858511  2.29817624],[ 17.94731848 136.56760424],[ 51.42261601 187.41545053],[ 86.15863013 154.85186496],[105.76572703 142.28892833],[127.72344883 128.29817624],[154.23263542 111.52139917],[149.63336354  82.49810654]
[120.37637134  45.44238209],[99.07801118 31.38883258],[93.36967307 14.43286706],[ 15.97713256 132.89979426],[ 40.76521182 166.47997748],[ 81.94635726 158.62424467],[ 99.15856743 145.63853066],[121.08248599 133.43286706],[143.24356436 116.55184827],[150.90541168  91.80644553]
[146.16905648  75.91646927],[168.63195124  46.9172236 ],[105.65585953  38.97829379],[95.10172388 23.41646927],[ 13.54605808 129.09608793],[ 32.89874852 154.85064942],[ 77.44684399 163.24553579],[ 93.03021189 150.479832  ],[114.15428276 139.41646927],[134.78633077 123.45726919],[162.72310472 103.87382588]
